// workbook	defined name	grid	small	live
Actor	Profile	Profile	897	29885
Actor	ActorStat	Stat	6	130
Actor	ActorCurve	Curve	6	195
Actor	ActorCatalogue	Catalogue	10	325
Actor	ActorFormula	Formula	16	520
Actor	Roster	Roster	25	845
Actor	ActorProfile	Profile	44	1462
Actor	ActorStat2	Stat	641	21369
Actor	ActorCurve2	Curve	6	98
Actor	ActorCatalogue2	Catalogue	7	244
Actor	ActorFormula2	Formula	13	422
ActorGrowth	ActorGrowthCurve	Curve	23	780
ActorGrowth	ActorGrowthStat	Stat	6	39
ActorGrowth	ActorGrowthFormula	Formula	587	19560
ActorGrowth	ActorGrowthCatalogue	Catalogue	17	552
ActorGrowth	ActorGrowthCurve2	Curve	58	1950
ActorGrowth	ActorGrowthStat2	Stat	6	65
ActorGrowth	ActorGrowthFormula2	Formula	6	130
ActorGrowth	ActorGrowthCatalogue2	Catalogue	6	195
ActorGrowth	ActorGrowthCurve3	Curve	10	325
ActorGrowth	ActorGrowthStat3	Stat	16	520
ActorGrowth	ActorGrowthFormula3	Formula	25	845
Ability	Ability	Ability	44	1462
Ability	AbilityEffect	Effect	78	2600
Ability	AbilityCatalogue	Catalogue	6	98
Ability	AbilityFormula	Formula	7	244
Ability	Ability2	Ability	13	422
Ability	AbilityEffect2	Effect	23	780
Ability	AbilityCatalogue2	Catalogue	6	39
Ability	AbilityFormula2	Formula	6	146
Ability	Ability3	Ability	17	552
Ability	AbilityEffect3	Effect	58	1950
Ability	AbilityCatalogue3	Catalogue	6	65
Status	Status	Status	6	130
Status	StatusEffect	Effect	6	195
Status	StatusCatalogue	Catalogue	10	325
Status	Status2	Status	16	520
Status	StatusEffect2	Effect	25	845
Status	StatusCatalogue2	Catalogue	44	1462
Status	Status3	Status	78	2600
Status	StatusEffect3	Effect	6	98
Status	StatusCatalogue3	Catalogue	7	244
Status	Status4	Status	13	422
Status	StatusEffect4	Effect	23	780
Combat	CombatFormula	Formula	6	39
Combat	CombatEffect	Effect	6	146
Combat	CombatCurve	Curve	17	552
Combat	CombatCatalogue	Catalogue	58	1950
Combat	CombatFormula2	Formula	6	65
Combat	CombatEffect2	Effect	6	130
Combat	CombatCurve2	Curve	6	195
Combat	CombatCatalogue2	Catalogue	10	325
Combat	CombatFormula3	Formula	16	520
Combat	CombatEffect3	Effect	25	845
Combat	CombatCurve3	Curve	44	1462
Damage	DamageFormula	Formula	78	2600
Damage	DamageCurve	Curve	6	98
Damage	DamageCatalogue	Catalogue	7	244
Damage	DamageFormula2	Formula	13	422
Damage	DamageCurve2	Curve	23	780
Damage	DamageCatalogue2	Catalogue	6	39
Damage	DamageFormula3	Formula	6	146
Damage	DamageCurve3	Curve	17	552
Damage	DamageCatalogue3	Catalogue	58	1950
Damage	DamageFormula4	Formula	6	65
Damage	DamageCurve4	Curve	6	130
Gear	Gear	Gear	6	195
Gear	GearCatalogue	Catalogue	10	325
Gear	GearStat	Stat	16	520
Gear	GearPerk	Perk	25	845
Gear	Gear2	Gear	44	1462
Gear	GearCatalogue2	Catalogue	78	2600
Gear	GearStat2	Stat	6	98
Gear	GearPerk2	Perk	7	244
Gear	Gear3	Gear	13	422
Gear	GearCatalogue3	Catalogue	23	780
Gear	GearStat3	Stat	6	39
GearSet	GearSetGear	Gear	6	146
GearSet	GearSetPerk	Perk	17	552
GearSet	GearSetCatalogue	Catalogue	58	1950
GearSet	GearSetGear2	Gear	6	65
GearSet	GearSetPerk2	Perk	6	130
GearSet	GearSetCatalogue2	Catalogue	6	195
GearSet	GearSetGear3	Gear	10	325
GearSet	GearSetPerk3	Perk	16	520
GearSet	GearSetCatalogue3	Catalogue	25	845
GearSet	GearSetGear4	Gear	44	1462
GearSet	GearSetPerk4	Perk	78	2600
Enchant	EnchantPerk	Perk	6	98
Enchant	EnchantRecipe	Recipe	7	244
Enchant	EnchantCatalogue	Catalogue	13	422
Enchant	EnchantCurve	Curve	23	780
Enchant	EnchantPerk2	Perk	6	39
