:table BaseDeckCard(key=card_id)	표준 52장입니다. 덱이 이 목록을 걸러 시작 덱을 만듭니다.
:field	card_id	rank	suit	is_face
:type	string (regex="^[SHCD](10|[2-9JQKA])$")	RankKind	SuitKind	bool
:desc	식별자	랭크	무늬	그림 카드인가
	S2	Two	Spade	false
	S3	Three	Spade	false
	S4	Four	Spade	false
	S5	Five	Spade	false
	S6	Six	Spade	false
	S7	Seven	Spade	false
	S8	Eight	Spade	false
	S9	Nine	Spade	false
	S10	Ten	Spade	false
	SJ	Jack	Spade	true
	SQ	Queen	Spade	true
	SK	King	Spade	true
	SA	Ace	Spade	false
	H2	Two	Heart	false
	H3	Three	Heart	false
	H4	Four	Heart	false
	H5	Five	Heart	false
	H6	Six	Heart	false
	H7	Seven	Heart	false
	H8	Eight	Heart	false
	H9	Nine	Heart	false
	H10	Ten	Heart	false
	HJ	Jack	Heart	true
	HQ	Queen	Heart	true
	HK	King	Heart	true
	HA	Ace	Heart	false
	C2	Two	Club	false
	C3	Three	Club	false
	C4	Four	Club	false
	C5	Five	Club	false
	C6	Six	Club	false
	C7	Seven	Club	false
	C8	Eight	Club	false
	C9	Nine	Club	false
	C10	Ten	Club	false
	CJ	Jack	Club	true
	CQ	Queen	Club	true
	CK	King	Club	true
	CA	Ace	Club	false
	D2	Two	Diamond	false
	D3	Three	Diamond	false
	D4	Four	Diamond	false
	D5	Five	Diamond	false
	D6	Six	Diamond	false
	D7	Seven	Diamond	false
	D8	Eight	Diamond	false
	D9	Nine	Diamond	false
	D10	Ten	Diamond	false
	DJ	Jack	Diamond	true
	DQ	Queen	Diamond	true
	DK	King	Diamond	true
	DA	Ace	Diamond	false
