:table CardSetSuit(key="set_id,suit")	세트가 무늬마다 쓰는 색입니다. **그림이 없는 세트에서만 보입니다** — 그림이 얼굴인 세트는 색이 그림 안에 있습니다. 네 색을 다 적는 것이 요점입니다. 빠진 것을 코드의 기본값으로 채우면 그 기본값이 어느 세트의 색인지가 코드에만 있게 됩니다.
:field	set_id	suit	ink
:type	foreign CardSet	SuitKind	string (regex="^#[0-9a-f]{6}$")
:desc	이 색을 가진 세트	무늬	카드에 쓰는 색
	classic	Spade	#1f2024
	classic	Heart	#d7343f
	classic	Club	#1f2024
	classic	Diamond	#d7343f
	line	Spade	#1f2024
	line	Heart	#d7343f
	line	Club	#1f2024
	line	Diamond	#d7343f
	four_color	Spade	#1f2024
	four_color	Heart	#d7343f
	four_color	Club	#2f8b52
	four_color	Diamond	#2f6fc0
	cats	Spade	#1f2024
	cats	Heart	#d7343f
	cats	Club	#1f2024
	cats	Diamond	#d7343f
	geckos	Spade	#1f2024
	geckos	Heart	#d7343f
	geckos	Club	#1f2024
	geckos	Diamond	#d7343f
	forest_kin	Spade	#1f2024
	forest_kin	Heart	#d7343f
	forest_kin	Club	#1f2024
	forest_kin	Diamond	#d7343f
	dragons	Spade	#1f2024
	dragons	Heart	#d7343f
	dragons	Club	#1f2024
	dragons	Diamond	#d7343f
	bone_court	Spade	#1f2024
	bone_court	Heart	#d7343f
	bone_court	Club	#1f2024
	bone_court	Diamond	#d7343f
	tin_kings	Spade	#1f2024
	tin_kings	Heart	#d7343f
	tin_kings	Club	#1f2024
	tin_kings	Diamond	#d7343f
	baseball	Spade	#1f2024
	baseball	Heart	#d7343f
	baseball	Club	#1f2024
	baseball	Diamond	#d7343f
	basketball	Spade	#1f2024
	basketball	Heart	#d7343f
	basketball	Club	#1f2024
	basketball	Diamond	#d7343f
	soccer	Spade	#1f2024
	soccer	Heart	#d7343f
	soccer	Club	#1f2024
	soccer	Diamond	#d7343f
	dogs	Spade	#1f2024
	dogs	Heart	#d7343f
	dogs	Club	#1f2024
	dogs	Diamond	#d7343f
	otters	Spade	#1f2024
	otters	Heart	#d7343f
	otters	Club	#1f2024
	otters	Diamond	#d7343f
	squirrels	Spade	#1f2024
	squirrels	Heart	#d7343f
	squirrels	Club	#1f2024
	squirrels	Diamond	#d7343f
	bugs	Spade	#1f2024
	bugs	Heart	#d7343f
	bugs	Club	#1f2024
	bugs	Diamond	#d7343f
	blooms	Spade	#1f2024
	blooms	Heart	#d7343f
	blooms	Club	#1f2024
	blooms	Diamond	#d7343f
