:table ChallengeBan(key="owner,order")	챌린지가 금지하는 것입니다. 금지된 것은 어느 경로로도 나오지 않습니다.
:field	owner	order	kind	ref_id
:type	foreign Challenge	int (min=0, max=63)	BanKind	string
:desc	어느 챌린지	같은 소유자 안의 순서	무엇의 갈래	금지되는 것의 식별자
	dry_season	0	Joker	moon_ladder
	dry_season	1	Joker	sky_rocket
	dry_season	2	Joker	gilt_coin
	dry_season	3	Joker	orbit_dish
	dry_season	4	Voucher	seed_money
	dry_season	5	Voucher	money_tree
	low_field	0	Boss	the_plant
	evergreen	0	Joker	windfall_pear
	evergreen	1	Joker	orchard_pear
	evergreen	2	Joker	frost_pane
	evergreen	3	Joker	broad_bean
	evergreen	4	Joker	noodle_pot
	evergreen	5	Joker	soda_cap
	evergreen	6	Joker	fizz_bottle
	evergreen	7	Joker	puffball
	evergreen	8	Joker	old_bones
	evergreen	9	Joker	faint_outline
	evergreen	10	Joker	ring_fighter
	evergreen	11	Boss	verdant_leaf
	sealed_fate	0	Boss	verdant_leaf
	rising_price	0	Voucher	clearance_sale
	rising_price	1	Voucher	liquidation
	glass_field	0	Joker	pebble_jar
	glass_field	1	Joker	leech_vine
	glass_field	2	Joker	gilt_mask
	glass_field	3	Joker	deed_stamp
	glass_field	4	Tarot	the_magician
	glass_field	5	Tarot	the_empress
	glass_field	6	Tarot	the_hierophant
	glass_field	7	Tarot	the_chariot
	glass_field	8	Tarot	the_devil
	glass_field	9	Tarot	the_tower
	glass_field	10	Tarot	the_lovers
	glass_field	11	Spectral	incantation
	glass_field	12	Spectral	grim
	glass_field	13	Spectral	familiar
	glass_field	14	Voucher	magic_trick
	glass_field	15	Voucher	illusion
	glass_field	16	Pack	standard_normal
	glass_field	17	Pack	standard_jumbo
	glass_field	18	Pack	standard_mega
	glass_field	19	Tag	standard
	sky_road	0	Joker	night_thief
	sky_road	1	Voucher	grabber
	sky_road	2	Voucher	nacho_tong
	five_leaves	0	Joker	spinner
	five_leaves	1	Joker	fiddler
	five_leaves	2	Joker	broad_bean
	single_thread	0	Joker	night_thief
	single_thread	1	Voucher	grabber
	single_thread	2	Voucher	nacho_tong
	bare_field	0	Tarot	judgement
	bare_field	1	Tarot	the_wheel_of_fortune
	bare_field	2	Tarot	temperance
	bare_field	3	Spectral	wraith
	bare_field	4	Spectral	the_soul
	bare_field	5	Spectral	ectoplasm
	bare_field	6	Spectral	ankh
	bare_field	7	Spectral	hex
	bare_field	8	Tag	uncommon
	bare_field	9	Tag	rare
	bare_field	10	Tag	negative
	bare_field	11	Tag	foil
	bare_field	12	Tag	holographic
	bare_field	13	Tag	polychrome
	bare_field	14	Tag	buffoon
	bare_field	15	Tag	topup
	bare_field	16	Boss	crimson_heart
	bare_field	17	Boss	verdant_leaf
	bare_field	18	Boss	amber_acorn
	bare_field	19	Voucher	antimatter
	bare_field	20	Pack	buffoon_normal
	bare_field	21	Pack	buffoon_jumbo
	bare_field	22	Pack	buffoon_mega
