:const EconomyConst	금액에 관한 값입니다.
:field	name	type	value	desc
	InterestPer5	int	1	보유 $5마다 받는 이자
	InterestCap	int	5	이자의 상한
	SellDivisor	int	2	판매가는 구입가를 이것으로 나눈 뒤 내림
	SellMin	int	1	판매가의 하한
	LegendaryBaseCost	int	10	전설 조커는 값이 없으므로 판매가의 기준이 이것입니다
	TarotCost	int	3	상점의 타로 값
	PlanetCost	int	3	상점의 행성 값
	SpectralCost	int	4	상점의 유령 값
	PlayingCardCost	int	1	상점의 플레잉 카드 값
	VoucherCost	int	10	바우처 값
	ShopCardSlots	int	2	상점의 카드 칸
	ShopPackSlots	int	2	상점의 팩 칸
	PackEnhanceChanceBp	int	2000	표준 팩의 카드 한 장이 강화를 달고 나올 확률 (만분율)
	PackSealChanceBp	int	1000	표준 팩의 카드 한 장이 인장을 달고 나올 확률 (만분율)
	PackEditionChanceBp	int	800	표준 팩의 카드 한 장이 에디션을 달고 나올 확률 (만분율)
	SoulChanceNum	int	3	`The Soul` 이 나올 확률의 분자
	SoulChanceDen	int	1000	`The Soul` 이 나올 확률의 분모
