:const FeelConst	연출의 길이와 문턱입니다. **연출 수치도 데이터입니다.**
:field	name	type	value	desc
	ScoreStepMs	int	230	득점 카드 하나의 연출 길이
	JokerStepMs	int	280	조커 하나의 연출 길이
	RetriggerStepMs	int	170	재발동의 연출 길이
	HandLabelMs	int	420	족보 표시의 길이
	MultiplyMs	int	620	칩과 배수가 점수로 합쳐지는 길이
	SettleMs	int	420	요구 점수 게이지가 채워지는 길이
	MoneyStepMs	int	260	돈이 오가는 연출의 길이. 동전이 날아가 꽂히는 데 걸리는 시간입니다
	HitStopMs	int	120	배수를 곱할 때 연출의 시계가 멈추는 길이
	FastForwardScale	int	4	빠르게 넘기기의 배속
	ShakeMaxPx	int	20	화면 흔들림의 최대 진폭
	ShakeThresholdMult	int	40000	세기가 오르기 시작하는 배수. 만분율
	ShakeMaxMult	int	3000000	세기가 최대가 되는 배수. 만분율
	NumberScaleMaxBp	int	16000	숫자가 커지는 최대 배율. 만분율
	PitchMaxSemitones	int	12	소리 음높이가 올라가는 최대 반음
	ParticleMax	int	90	카드 뒤 파티클의 최대 개수
	ChromaticMaxPx	int	5	색수차의 최대 폭
	CardHoverLiftPx	int	12	카드에 마우스를 올렸을 때 떠오르는 높이
	CardHoverTiltDeg	int	6	그때의 기울기
	DrawStaggerMs	int	35	카드를 뽑을 때 장마다의 간격. 뒷면으로 자리에 붙는 간격입니다
	DrawLandMs	int	200	마지막 장이 뒷면으로 자리에 붙기까지
	FlipStaggerMs	int	25	다 붙은 뒤 왼쪽부터 뒤집는 장마다의 간격
	PlayStaggerMs	int	90	낸 카드가 판으로 올라갈 때 장마다의 간격
	PlayLandMs	int	260	마지막 장이 자리에 붙고 득점이 시작되기까지
	TagGainMs	int	760	건너뛰어 받은 태그 칩이 커져서 머리띠로 날아가 앉기까지
	TagUseMs	int	300	받자마자 쓰이는 태그가 발동하는 시간
