:table EnhancementEffect(key="owner,order")	강화가 하는 일입니다.
:field	owner	order	trigger	chance_num	chance_den	first_only	ranks	suits	scope	scope_count	condition.$type	condition.hand	condition.suit	condition.enhancement	condition.seal	condition.edition	condition.blind	condition.consumable	condition.target	condition.counter	condition.consume	condition.n	condition.compare	condition.num	condition.den	operation.$type	operation.chips	operation.mult	operation.money	operation.cap	operation.unit	operation.mode	operation.value	operation.base_value	operation.min	operation.max	operation.times	operation.counter	operation.step	operation.init	operation.floor	operation.reset	operation.hand_pick	operation.levels	operation.create	operation.count	operation.card_class	operation.edition	operation.rarity	operation.enhancement	operation.seal	operation.suit	operation.modify	operation.trait	operation.debuff	operation.pick	operation.rule	operation.absolute	operation.duration	operation.free	operation.random	operation.ref_id	operation.handler
:type	EnhancementKind	int (min=0, max=15)	Trigger	int?	int?	bool?	RankKind[]?	SuitKind[]?	Scope	int?	Condition															Operation																																					
:desc	이 효과를 가진 것	같은 소유자 안의 순서	언제 보는가	확률의 분자	확률의 분모	조건을 만족한 첫 대상만	어느 랭크들인가	어느 무늬들인가	누구에게	대상 개수	무엇이 참이어야 하는가															무엇을 하는가																																					
	Bonus	0	OnCardScored	-	-	-	-	-	Run	-	CondAlways															OpAddChips	30																																				
	Mult	0	OnCardScored	-	-	-	-	-	Run	-	CondAlways															OpAddMult		40000																																			
	Wild	0	Passive	-	-	-	-	-	SelfTarget	-	CondAlways															OpCardTrait																												AnySuit									
	Glass	0	OnCardScored	-	-	-	-	-	Run	-	CondAlways															OpMulMult		20000																																			
	Glass	1	OnCardScored	1	4	-	-	-	ScoredCard	-	CondAlways															OpDestroyCard																				1																	
	Steel	0	OnCardHeld	-	-	-	-	-	Run	-	CondAlways															OpMulMult		15000																																			
	Stone	0	OnCardScored	-	-	-	-	-	Run	-	CondAlways															OpAddChips	50																																				
	Stone	1	Passive	-	-	-	-	-	SelfTarget	-	CondAlways															OpCardTrait																												NoRankSuit									
	Stone	2	Passive	-	-	-	-	-	SelfTarget	-	CondAlways															OpCardTrait																												AlwaysScores									
	Gold	0	OnRoundEnd	-	-	-	-	-	Run	-	CondAlways															OpAddMoney			3																																		
	Lucky	0	OnCardScored	1	5	-	-	-	Run	-	CondAlways															OpAddMult		200000																																			
	Lucky	1	OnCardScored	1	15	-	-	-	Run	-	CondAlways															OpAddMoney			20																																		
