:table Joker(key=joker_id)	조커 한 종입니다. 효과는 `JokerEffect` 에 있고 여기에는 그 종의 성질만 있습니다.
:field	joker_id	rarity	cost	name	art	blueprint_ok	sort_order	pool	eternal_ok
:type	string (regex="^[a-z][a-z0-9_]*$")	Rarity	int (min=1, max=10)	string (text=Joker)	string (asset=joker)	bool	int (min=1, max=500)	JokerPool	bool
:desc	식별자	희귀도	상점에서의 가격	표시 이름	그림	복사 조커가 복사할 수 있는가	수집 목록에서의 순서	어느 풀에 드는가	`Eternal` 이 붙을 수 있는가
	twig	Common	2	둥근 잔가지	twig	true	1	Base	true
	quartz_bloom	Common	5	석영꽃	quartz_bloom	true	2	Base	true
	poppy_bloom	Common	5	양귀비꽃	poppy_bloom	true	3	Base	true
	nettle_bloom	Common	5	쐐기풀꽃	nettle_bloom	true	4	Base	true
	clover_bloom	Common	5	클로버꽃	clover_bloom	true	5	Base	true
	warbler	Common	3	휘파람새	warbler	true	6	Base	true
	starling	Common	4	찌르레기	starling	true	7	Base	true
	magpie	Common	4	까치	magpie	true	8	Base	true
	swallow	Common	4	제비	swallow	true	9	Base	true
	finch	Common	4	되새	finch	true	10	Base	true
	cricket	Common	3	귀뚜라미	cricket	true	11	Base	true
	mantis	Common	4	사마귀	mantis	true	12	Base	true
	beetle	Common	4	딱정벌레	beetle	true	13	Base	true
	centipede	Common	4	그리마	centipede	true	14	Base	true
	firefly	Common	4	개똥벌레	firefly	true	15	Base	true
	half_pot	Common	5	반쪽 화분	half_pot	true	16	Base	true
	ledger_note	Common	1	외상 장부	ledger_note	false	17	Base	true
	bunting	Common	5	깃발천	bunting	true	18	Base	true
	last_ridge	Common	5	마지막 능선	last_ridge	true	19	Base	true
	eight_bell	Common	5	여덟째 종	eight_bell	true	20	Base	true
	smudge	Common	4	번짐	smudge	true	21	Base	true
	low_branch	Common	5	낮은 가지	low_branch	true	22	Base	true
	muddle	Common	4	헝클림	muddle	false	23	Base	true
	grim_mask	Common	4	무서운 가면	grim_mask	true	24	Base	true
	tangle	Common	4	엉킴	tangle	true	25	Base	true
	slow_pot	Common	4	더딘 항아리	slow_pot	true	26	Base	true
	windfall_pear	Common	5	바람 맞은 배	windfall_pear	true	27	Base	false
	even_ivy	Common	4	짝수 담쟁이	even_ivy	true	28	Base	true
	odd_alder	Common	4	홀수 오리나무	odd_alder	true	29	Base	true
	almanac	Common	4	낡은 연감	almanac	true	30	Base	true
	trade_card	Common	4	거래 명함	trade_card	true	31	Base	true
	nova_bud	Common	5	새로 뜬 별	nova_bud	true	32	Base	true
	long_path	Common	6	긴 길	long_path	true	33	Base	true
	seed_pod	Common	4	씨주머니	seed_pod	true	34	Base	true
	creeper	Common	5	덩굴손	creeper	true	35	Base	true
	frost_pane	Common	5	서린 유리	frost_pane	true	36	Base	false
	downpour	Common	3	소나기	downpour	false	37	Base	true
	blue_lantern	Common	5	파란 등	blue_lantern	true	38	Base	true
