:table TarotEffect(key="owner,order")	타로가 하는 일입니다.
:field	owner	order	trigger	chance_num	chance_den	first_only	ranks	suits	scope	scope_count	condition.$type	condition.hand	condition.suit	condition.enhancement	condition.seal	condition.edition	condition.blind	condition.consumable	condition.target	condition.counter	condition.consume	condition.n	condition.compare	condition.num	condition.den	operation.$type	operation.chips	operation.mult	operation.money	operation.cap	operation.unit	operation.mode	operation.value	operation.base_value	operation.min	operation.max	operation.times	operation.counter	operation.step	operation.init	operation.floor	operation.reset	operation.hand_pick	operation.levels	operation.create	operation.count	operation.card_class	operation.edition	operation.rarity	operation.enhancement	operation.seal	operation.suit	operation.modify	operation.trait	operation.debuff	operation.pick	operation.rule	operation.absolute	operation.duration	operation.free	operation.random	operation.ref_id	operation.handler	operation.sticker
:type	foreign Tarot	int (min=0, max=15)	Trigger	int?	int?	bool?	RankKind[]?	SuitKind[]?	Scope	int?	Condition															Operation																																						
:desc	이 효과를 가진 것	같은 소유자 안의 순서	언제 보는가	확률의 분자	확률의 분모	조건을 만족한 첫 대상만	어느 랭크들인가	어느 무늬들인가	누구에게	대상 개수	무엇이 참이어야 하는가															무엇을 하는가																																						
	the_fool	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpCreateCard																			LastUsed	1																		
	the_magician	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpModifyCard																								Lucky			Enhancement											
	the_high_priestess	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpCreateCard																			Planet	2															true			
	the_empress	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpModifyCard																								Mult			Enhancement											
	the_emperor	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpCreateCard																			Tarot	2															true			
	the_hierophant	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpModifyCard																								Bonus			Enhancement											
	the_lovers	0	OnUse	-	-	-	-	-	Selected	1	CondAlways															OpModifyCard																								Wild			Enhancement											
	the_chariot	0	OnUse	-	-	-	-	-	Selected	1	CondAlways															OpModifyCard																								Steel			Enhancement											
	justice	0	OnUse	-	-	-	-	-	Selected	1	CondAlways															OpModifyCard																								Glass			Enhancement											
	the_hermit	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpMulMoney				20			20000																															
	the_wheel_of_fortune	0	OnUse	1	4	-	-	-	RandomJoker	-	CondAlways															OpModifyJoker																																			true			
	strength	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpModifyCard							1																				RankStep											
	the_hanged_man	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpDestroyCard																				2																		
	death	0	OnUse	-	-	-	-	-	Selected	2	CondAlways															OpModifyCard																											CopyRight											
	temperance	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpPerUnit				50	OtherJokerSellValue	AddMoney	1																															
	the_devil	0	OnUse	-	-	-	-	-	Selected	1	CondAlways															OpModifyCard																								Gold			Enhancement											
	the_tower	0	OnUse	-	-	-	-	-	Selected	1	CondAlways															OpModifyCard																								Stone			Enhancement											
	the_star	0	OnUse	-	-	-	-	-	Selected	3	CondAlways															OpModifyCard																										Diamond	Suit											
	the_moon	0	OnUse	-	-	-	-	-	Selected	3	CondAlways															OpModifyCard																										Club	Suit											
	the_sun	0	OnUse	-	-	-	-	-	Selected	3	CondAlways															OpModifyCard																										Heart	Suit											
	judgement	0	OnUse	-	-	-	-	-	Run	-	CondAlways															OpCreateCard																			Joker	1															true			
	the_world	0	OnUse	-	-	-	-	-	Selected	3	CondAlways															OpModifyCard																										Spade	Suit											
