// workbook	tab	grid	small	live
Enums	TableEnums	TableEnums	0	0
Character	CharacterTable	CharacterTable	30	120
Character	CharacterStatTable	CharacterStatTable	150	600
Character	CharacterAscendTable	CharacterAscendTable	45	180
Character	CharacterSkinTable	CharacterSkinTable	22	90
Character	CharacterVoiceTable	CharacterVoiceTable	60	240
Character	RoleBonusTable	RoleBonusTable	12	30
Character	ElementAffinityTable	ElementAffinityTable	12	36
Skill	SkillTable	SkillTable	80	320
Skill	SkillLevelTable	SkillLevelTable	160	640
Skill	SkillEffectTable	SkillEffectTable	105	420
Skill	BuffTable	BuffTable	45	180
Skill	BuffPoolTable	BuffPoolTable	24	96
Skill	PassiveTable	PassiveTable	35	140
Item	ItemTable	ItemTable	120	480
Item	CurrencyTable	CurrencyTable	12	24
Item	MaterialTable	MaterialTable	40	160
Item	ConsumableTable	ConsumableTable	22	90
Item	OfferTable	OfferTable	18	70
Item	OfferItemTable	OfferItemTable	52	210
Item	ItemGradeTable	ItemGradeTable	12	18
Equipment	EquipTable	EquipTable	65	260
Equipment	EquipLevelTable	EquipLevelTable	100	400
Equipment	EquipGradeTable	EquipGradeTable	12	24
Equipment	EquipSetTable	EquipSetTable	12	48
Equipment	EquipSetBonusTable	EquipSetBonusTable	24	96
Equipment	EquipOptionTable	EquipOptionTable	38	150
Growth	LevelCurveTable	LevelCurveTable	1500	95490
Growth	StatBaseTable	StatBaseTable	15	60
Growth	AscendCurveTable	AscendCurveTable	30	120
Growth	PowerScoreTable	PowerScoreTable	12	45
Stage	StageTable	StageTable	90	360
Stage	StageWaveTable	StageWaveTable	180	720
Stage	StageMonsterTable	StageMonsterTable	75	300
Stage	StageRewardTable	StageRewardTable	90	360
Stage	ChapterTable	ChapterTable	12	40
Stage	WorldTable	WorldTable	12	12
Quest	QuestTable	QuestTable	55	220
Quest	QuestStepTable	QuestStepTable	95	380
Quest	DailyQuestTable	DailyQuestTable	12	40
Quest	WeeklyQuestTable	WeeklyQuestTable	12	24
Quest	AchievementTable	AchievementTable	32	130
Dungeon	DungeonTable	DungeonTable	12	36
Dungeon	DungeonFloorTable	DungeonFloorTable	75	300
Dungeon	DungeonRewardTable	DungeonRewardTable	45	180
Dungeon	RaidTable	RaidTable	12	20
Shop	ShopTable	ShopTable	12	18
Shop	ShopSlotTable	ShopSlotTable	35	140
Shop	PriceTable	PriceTable	24	96
Shop	PromoTable	PromoTable	15	60
Gacha	GachaTable	GachaTable	12	30
Gacha	GachaPoolTable	GachaPoolTable	45	180
Gacha	GachaOddsTable	GachaOddsTable	30	120
Gacha	PityTable	PityTable	12	40
Reward	RewardTable	RewardTable	65	260
Reward	LootGroupTable	LootGroupTable	35	140
Reward	LootEntryTable	LootEntryTable	105	420
Reward	MailRewardTable	MailRewardTable	15	60
Offline	OfflineRewardTable	OfflineRewardTable	20	80
Offline	IdleRateTable	IdleRateTable	15	60
Offline	AfkBonusTable	AfkBonusTable	12	30
Codex	CodexTable	CodexTable	22	90
Codex	CodexEntryTable	CodexEntryTable	75	300
Codex	CodexTierTable	CodexTierTable	30	120
Dialogue	DialogueTable	DialogueTable	40	160
Dialogue	DialogueLineTable	DialogueLineTable	160	640
Dialogue	CutsceneTable	CutsceneTable	12	40
Localization	StringTable	StringTable	450	1800
Setting	SettingTable	SettingTable	15	60
Setting	ConditionTable	ConditionTable	45	180
Setting	UnlockTable	UnlockTable	22	90
Setting	Table	Table	12	45
