:table	CodexReward	기록부 완성률 보상이다.
:field	codex_reward_id	codex_scope	region_id	threshold	reward_group_id
:type	string	CodexScope	foreign Region?	int (min=1, max=100)	foreign RewardGroup
:desc	식별자	지역별인지 전체인지	전체 보상은 비운다	완성률	보상
:target	c,s	c,s	c,s	c,s	c,s
	codex_weir_forest_30	Region	weir_forest	30	rg_codex_weir_forest_30
	codex_weir_forest_60	Region	weir_forest	60	rg_codex_weir_forest_60
	codex_weir_forest_100	Region	weir_forest	100	rg_codex_weir_forest_100
	codex_salt_coast_30	Region	salt_coast	30	rg_codex_salt_coast_30
	codex_salt_coast_60	Region	salt_coast	60	rg_codex_salt_coast_60
	codex_salt_coast_100	Region	salt_coast	100	rg_codex_salt_coast_100
	codex_ashen_crater_30	Region	ashen_crater	30	rg_codex_ashen_crater_30
	codex_ashen_crater_60	Region	ashen_crater	60	rg_codex_ashen_crater_60
	codex_ashen_crater_100	Region	ashen_crater	100	rg_codex_ashen_crater_100
	codex_frost_ridge_30	Region	frost_ridge	30	rg_codex_frost_ridge_30
	codex_frost_ridge_60	Region	frost_ridge	60	rg_codex_frost_ridge_60
	codex_frost_ridge_100	Region	frost_ridge	100	rg_codex_frost_ridge_100
	codex_sunken_temple_30	Region	sunken_temple	30	rg_codex_sunken_temple_30
	codex_sunken_temple_60	Region	sunken_temple	60	rg_codex_sunken_temple_60
	codex_sunken_temple_100	Region	sunken_temple	100	rg_codex_sunken_temple_100
	codex_global_25	Global		25	rg_codex_global_25
	codex_global_50	Global		50	rg_codex_global_50
	codex_global_75	Global		75	rg_codex_global_75
	codex_global_100	Global		100	rg_codex_global_100
