:table	MonsterSkill(key="monster_id,skill_id")	단계별로 사용할 수 있는 스킬이다.
:field	monster_id	skill_id	slot_kind	unlock_stage
:type	foreign Monster	foreign Skill	SlotKind	int (min=1, max=3)
:desc	어느 단계인가	어느 스킬인가	액티브인지 패시브인지	이 단계부터 사용할 수 있다
:target	c,s	c,s	c,s	c,s
	sprout_deer_1	leaf_buff_atk	Active	1
	sprout_deer_1	leaf_damage_2	Active	1
	sprout_deer_1	leaf_damage	Active	1
	sprout_deer_1	plain_guard	Active	1
	sprout_deer_2	leaf_buff_atk	Active	2
	sprout_deer_2	leaf_damage_2	Active	2
	sprout_deer_2	leaf_damage	Active	2
	sprout_deer_2	leaf_damage_big	Active	2
	sprout_deer_2	plain_focus	Passive	2
	sprout_deer_3	leaf_buff_atk	Active	3
	sprout_deer_3	leaf_damage_2	Active	3
	sprout_deer_3	leaf_damage	Active	3
	sprout_deer_3	leaf_damage_big	Active	3
	sprout_deer_3	leaf_damage_wide	Active	3
	sprout_deer_3	plain_guard	Passive	3
	moss_toad_1	leaf_buff_def	Active	1
	moss_toad_1	leaf_heal	Active	1
	moss_toad_1	leaf_buff_def_2	Active	1
	moss_toad_1	plain_guard	Active	1
	thorn_beetle_1	leaf_damage	Active	1
	thorn_beetle_1	leaf_damage_big	Active	1
	thorn_beetle_1	leaf_damage_wide	Active	1
	thorn_beetle_1	plain_guard	Active	1
	thorn_beetle_2	leaf_damage	Active	2
	thorn_beetle_2	leaf_damage_big	Active	2
	thorn_beetle_2	leaf_damage_wide	Active	2
	thorn_beetle_2	leaf_buff_def	Active	2
	thorn_beetle_2	plain_focus	Passive	2
	vine_ape_1	leaf_buff_atk	Active	1
	vine_ape_1	leaf_damage_2	Active	1
	vine_ape_1	leaf_damage	Active	1
	vine_ape_1	plain_guard	Active	1
	vine_ape_2	leaf_buff_atk	Active	2
	vine_ape_2	leaf_damage_2	Active	2
	vine_ape_2	leaf_damage	Active	2
	vine_ape_2	leaf_damage_big	Active	2
	vine_ape_2	plain_focus	Passive	2
	bloom_moth_1	leaf_status	Active	1
	bloom_moth_1	leaf_status_wide	Active	1
	bloom_moth_1	leaf_damage	Active	1
	bloom_moth_1	plain_guard	Active	1
	elder_bark_1	leaf_buff_def	Active	1
	elder_bark_1	leaf_heal	Active	1
	elder_bark_1	leaf_buff_def_2	Active	1
	elder_bark_1	plain_guard	Active	1
	elder_bark_2	leaf_buff_def	Active	2
	elder_bark_2	leaf_heal	Active	2
	elder_bark_2	leaf_buff_def_2	Active	2
	elder_bark_2	leaf_damage	Active	2
	elder_bark_2	plain_focus	Passive	2
	ember_fox_1	flame_damage	Active	1
	ember_fox_1	flame_damage_big	Active	1
	ember_fox_1	flame_damage_wide	Active	1
	ember_fox_1	plain_guard	Active	1
	ember_fox_2	flame_damage	Active	2
	ember_fox_2	flame_damage_big	Active	2
	ember_fox_2	flame_damage_wide	Active	2
	ember_fox_2	flame_buff_def	Active	2
	ember_fox_2	plain_focus	Passive	2
	ember_fox_3	flame_damage	Active	3
	ember_fox_3	flame_damage_big	Active	3
