:table	SkillGrowth(key="skill_id,level")	스킬 레벨별 효과와 재료이다.
:field	skill_id	level	power_factor	costs[0].currency_id	costs[0].amount	costs[1].currency_id	costs[1].amount
:type	foreign Skill	int (min=1, max=10)	int (min=10000)	Cost
:desc	어느 스킬인가	스킬 레벨	효과 배수. 만분율	소모 재화
:target	c,s	c,s	c,s	c,s
	flame_damage	1	10000	gold	600	food	4
	flame_damage	2	11200	gold	2400	food	8
	flame_damage	3	12400	gold	5400	food	12
	flame_damage	4	13600	gold	9600	food	16
	flame_damage	5	14800	gold	15000	food	20
	flame_damage	6	16000	gold	21600	food	24
	flame_damage	7	17200	gold	29400	food	28
	flame_damage	8	18400	gold	38400	food	32
	flame_damage	9	19600	gold	48600	food	36
	flame_damage	10	20800	gold	60000	food	40
	flame_damage_big	1	10000	gold	600	food	4
	flame_damage_big	2	11200	gold	2400	food	8
	flame_damage_big	3	12400	gold	5400	food	12
	flame_damage_big	4	13600	gold	9600	food	16
	flame_damage_big	5	14800	gold	15000	food	20
	flame_damage_big	6	16000	gold	21600	food	24
	flame_damage_big	7	17200	gold	29400	food	28
	flame_damage_big	8	18400	gold	38400	food	32
	flame_damage_big	9	19600	gold	48600	food	36
	flame_damage_big	10	20800	gold	60000	food	40
	flame_damage_wide	1	10000	gold	600	food	4
	flame_damage_wide	2	11200	gold	2400	food	8
	flame_damage_wide	3	12400	gold	5400	food	12
	flame_damage_wide	4	13600	gold	9600	food	16
	flame_damage_wide	5	14800	gold	15000	food	20
	flame_damage_wide	6	16000	gold	21600	food	24
	flame_damage_wide	7	17200	gold	29400	food	28
	flame_damage_wide	8	18400	gold	38400	food	32
	flame_damage_wide	9	19600	gold	48600	food	36
	flame_damage_wide	10	20800	gold	60000	food	40
	flame_buff_def	1	10000	gold	600	food	4
	flame_buff_def	2	11200	gold	2400	food	8
	flame_buff_def	3	12400	gold	5400	food	12
	flame_buff_def	4	13600	gold	9600	food	16
	flame_buff_def	5	14800	gold	15000	food	20
	flame_buff_def	6	16000	gold	21600	food	24
	flame_buff_def	7	17200	gold	29400	food	28
	flame_buff_def	8	18400	gold	38400	food	32
	flame_buff_def	9	19600	gold	48600	food	36
	flame_buff_def	10	20800	gold	60000	food	40
	flame_heal	1	10000	gold	600	food	4
	flame_heal	2	11200	gold	2400	food	8
	flame_heal	3	12400	gold	5400	food	12
	flame_heal	4	13600	gold	9600	food	16
	flame_heal	5	14800	gold	15000	food	20
	flame_heal	6	16000	gold	21600	food	24
	flame_heal	7	17200	gold	29400	food	28
	flame_heal	8	18400	gold	38400	food	32
	flame_heal	9	19600	gold	48600	food	36
	flame_heal	10	20800	gold	60000	food	40
	flame_status	1	10000	gold	600	food	4
	flame_status	2	11200	gold	2400	food	8
	flame_status	3	12400	gold	5400	food	12
	flame_status	4	13600	gold	9600	food	16
	flame_status	5	14800	gold	15000	food	20
	flame_status	6	16000	gold	21600	food	24
	flame_status	7	17200	gold	29400	food	28
	flame_status	8	18400	gold	38400	food	32
	flame_status	9	19600	gold	48600	food	36
	flame_status	10	20800	gold	60000	food	40
	flame_buff_atk	1	10000	gold	600	food	4
	flame_buff_atk	2	11200	gold	2400	food	8
	flame_buff_atk	3	12400	gold	5400	food	12
	flame_buff_atk	4	13600	gold	9600	food	16
	flame_buff_atk	5	14800	gold	15000	food	20
	flame_buff_atk	6	16000	gold	21600	food	24
	flame_buff_atk	7	17200	gold	29400	food	28
	flame_buff_atk	8	18400	gold	38400	food	32
	flame_buff_atk	9	19600	gold	48600	food	36
	flame_buff_atk	10	20800	gold	60000	food	40
	flame_damage_2	1	10000	gold	600	food	4
