:table	StringTable	번역 대조본이다.
:field	string_id	ko	en	ja
:type	string	string	string	string
:desc	식별자	한국어	영어	일본어
:target	c	c	c	c
	monster.sprout_deer_1.name	새싹사슴	Sprout Deer 1	새싹사슴
	monster.sprout_deer_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.sprout_deer_2.name	잎뿔사슴	Sprout Deer 2	잎뿔사슴
	monster.sprout_deer_2.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.sprout_deer_3.name	숲지기사슴	Sprout Deer 3	숲지기사슴
	monster.sprout_deer_3.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.moss_toad_1.name	이끼두꺼비	Moss Toad 1	이끼두꺼비
	monster.moss_toad_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.thorn_beetle_1.name	가시딱정벌레	Thorn Beetle 1	가시딱정벌레
	monster.thorn_beetle_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.thorn_beetle_2.name	창날딱정벌레	Thorn Beetle 2	창날딱정벌레
	monster.thorn_beetle_2.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.vine_ape_1.name	덩굴원숭이	Vine Ape 1	덩굴원숭이
	monster.vine_ape_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.vine_ape_2.name	등나무원숭이	Vine Ape 2	등나무원숭이
	monster.vine_ape_2.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.bloom_moth_1.name	개화나방	Bloom Moth 1	개화나방
	monster.bloom_moth_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.elder_bark_1.name	늙은껍질	Elder Bark 1	늙은껍질
	monster.elder_bark_1.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.elder_bark_2.name	고목수호자	Elder Bark 2	고목수호자
	monster.elder_bark_2.desc	잎새 와일드링이다.	A leaf wildling.	Leaf のワイルドリング。
	monster.ember_fox_1.name	잉걸여우	Ember Fox 1	잉걸여우
	monster.ember_fox_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.ember_fox_2.name	불꼬리여우	Ember Fox 2	불꼬리여우
	monster.ember_fox_2.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.ember_fox_3.name	화염여우	Ember Fox 3	화염여우
	monster.ember_fox_3.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.cinder_pup_1.name	불씨강아지	Cinder Pup 1	불씨강아지
	monster.cinder_pup_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.ash_boar_1.name	재멧돼지	Ash Boar 1	재멧돼지
	monster.ash_boar_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.ash_boar_2.name	화산멧돼지	Ash Boar 2	화산멧돼지
	monster.ash_boar_2.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.flare_hawk_1.name	섬광매	Flare Hawk 1	섬광매
	monster.flare_hawk_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.magma_crab_1.name	용암게	Magma Crab 1	용암게
	monster.magma_crab_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.magma_crab_2.name	분화구게	Magma Crab 2	분화구게
	monster.magma_crab_2.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.pyre_lion_1.name	불길사자	Pyre Lion 1	불길사자
	monster.pyre_lion_1.desc	불꽃 와일드링이다.	A flame wildling.	Flame のワイルドリング。
	monster.tide_serpent_1.name	물비늘뱀	Tide Serpent 1	물비늘뱀
	monster.tide_serpent_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.tide_serpent_2.name	조류뱀	Tide Serpent 2	조류뱀
	monster.tide_serpent_2.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.tide_serpent_3.name	심해뱀	Tide Serpent 3	심해뱀
	monster.tide_serpent_3.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.dew_slug_1.name	이슬달팽이	Dew Slug 1	이슬달팽이
	monster.dew_slug_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.reef_turtle_1.name	산호거북	Reef Turtle 1	산호거북
	monster.reef_turtle_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.reef_turtle_2.name	암초거북	Reef Turtle 2	암초거북
	monster.reef_turtle_2.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.mist_ray_1.name	안개가오리	Mist Ray 1	안개가오리
	monster.mist_ray_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.brine_otter_1.name	소금수달	Brine Otter 1	소금수달
	monster.brine_otter_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.brine_otter_2.name	물살수달	Brine Otter 2	물살수달
	monster.brine_otter_2.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.abyss_whale_1.name	심연고래	Abyss Whale 1	심연고래
	monster.abyss_whale_1.desc	물결 와일드링이다.	A tide wildling.	Tide のワイルドリング。
	monster.spark_mouse_1.name	스파크쥐	Spark Mouse 1	스파크쥐
	monster.spark_mouse_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.bolt_lynx_1.name	스파크살쾡이	Bolt Lynx 1	스파크살쾡이
	monster.bolt_lynx_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.bolt_lynx_2.name	번개살쾡이	Bolt Lynx 2	번개살쾡이
	monster.bolt_lynx_2.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.bolt_lynx_3.name	뇌전살쾡이	Bolt Lynx 3	뇌전살쾡이
	monster.bolt_lynx_3.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.coil_snake_1.name	감김뱀	Coil Snake 1	감김뱀
	monster.coil_snake_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.coil_snake_2.name	나선뱀	Coil Snake 2	나선뱀
	monster.coil_snake_2.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.storm_crane_1.name	폭풍두루미	Storm Crane 1	폭풍두루미
	monster.storm_crane_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.storm_crane_2.name	뇌운두루미	Storm Crane 2	뇌운두루미
	monster.storm_crane_2.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.volt_golem_1.name	전압골렘	Volt Golem 1	전압골렘
	monster.volt_golem_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
