:table RewardEntry(key="reward_group_id,order")	묶음 하나의 항목이다. 판별자가 형태를 정한다.
:field	reward_group_id	order	reward.$type	reward.amount	reward.item_id	reward.currency_id	reward.monster_id	rate	server_weight
:type	foreign RewardGroup	int (min=0, max=15)	Reward					int (min=1, max=10000)	int?
:desc	어느 묶음인가	표시 순서	이 행의 보상이 어떤 형태인가	수량	아이템 보상의 대상	재화 보상의 대상	와일드링 또는 조각 보상의 대상	확률. 만분율	서버만 쓰는 가중치
:target	c,s	c,s	c,s	c,s	c,s	c,s	c,s	c,s	s
	rg_weir_forest_material	0	ItemReward	3	mat_weir_forest_resin			10000	100
	rg_weir_forest_material	1	ItemReward	1	mat_weir_forest_core			2500	40
	rg_weir_forest_material	2	ItemReward	1	mat_salt_coast_core			800	12
	rg_weir_forest_material	3	CurrencyReward	5		gem		300	5
	rg_weir_forest_stage_01	0	CurrencyReward	340		gold		10000	-
	rg_weir_forest_stage_01	1	CurrencyReward	6		food		5000	-
	rg_weir_forest_stage_01	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_02	0	CurrencyReward	380		gold		10000	-
	rg_weir_forest_stage_02	1	CurrencyReward	6		food		5000	-
	rg_weir_forest_stage_02	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_03	0	CurrencyReward	420		gold		10000	-
	rg_weir_forest_stage_03	1	CurrencyReward	6		food		5000	-
	rg_weir_forest_stage_03	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_04	0	CurrencyReward	460		gold		10000	-
	rg_weir_forest_stage_04	1	CurrencyReward	7		food		5000	-
	rg_weir_forest_stage_04	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_05	0	CurrencyReward	500		gold		10000	-
	rg_weir_forest_stage_05	1	CurrencyReward	7		food		5000	-
	rg_weir_forest_stage_05	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_06	0	CurrencyReward	540		gold		10000	-
	rg_weir_forest_stage_06	1	CurrencyReward	7		food		5000	-
	rg_weir_forest_stage_06	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_07	0	CurrencyReward	580		gold		10000	-
	rg_weir_forest_stage_07	1	CurrencyReward	7		food		5000	-
	rg_weir_forest_stage_07	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_08	0	CurrencyReward	620		gold		10000	-
	rg_weir_forest_stage_08	1	CurrencyReward	8		food		5000	-
	rg_weir_forest_stage_08	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_09	0	CurrencyReward	660		gold		10000	-
	rg_weir_forest_stage_09	1	CurrencyReward	8		food		5000	-
	rg_weir_forest_stage_09	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_10	0	CurrencyReward	700		gold		10000	-
	rg_weir_forest_stage_10	1	CurrencyReward	8		food		5000	-
	rg_weir_forest_stage_10	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_11	0	CurrencyReward	740		gold		10000	-
	rg_weir_forest_stage_11	1	CurrencyReward	8		food		5000	-
	rg_weir_forest_stage_11	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_12	0	CurrencyReward	780		gold		10000	-
	rg_weir_forest_stage_12	1	CurrencyReward	9		food		5000	-
	rg_weir_forest_stage_12	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_13	0	CurrencyReward	820		gold		10000	-
	rg_weir_forest_stage_13	1	CurrencyReward	9		food		5000	-
	rg_weir_forest_stage_13	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_14	0	CurrencyReward	860		gold		10000	-
	rg_weir_forest_stage_14	1	CurrencyReward	9		food		5000	-
	rg_weir_forest_stage_14	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_15	0	CurrencyReward	900		gold		10000	-
	rg_weir_forest_stage_15	1	CurrencyReward	9		food		5000	-
	rg_weir_forest_stage_15	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_16	0	CurrencyReward	940		gold		10000	-
	rg_weir_forest_stage_16	1	CurrencyReward	10		food		5000	-
	rg_weir_forest_stage_16	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_17	0	CurrencyReward	980		gold		10000	-
	rg_weir_forest_stage_17	1	CurrencyReward	10		food		5000	-
	rg_weir_forest_stage_17	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_stage_18	0	CurrencyReward	1020		gold		10000	-
	rg_weir_forest_stage_18	1	CurrencyReward	10		food		5000	-
	rg_weir_forest_stage_18	2	ItemReward	1	mat_weir_forest_dust			3000	20
	rg_weir_forest_guardian	0	CurrencyReward	2000		gold		10000	-
	rg_weir_forest_guardian	1	MonsterReward	1			elder_bark_1	10000	-
	rg_weir_forest_guardian	2	CurrencyReward	80		gem		10000	-
	rg_codex_weir_forest_30	0	CurrencyReward	900		gold		10000	-
	rg_codex_weir_forest_60	0	CurrencyReward	1800		gold		10000	-
	rg_codex_weir_forest_100	0	CurrencyReward	3000		gold		10000	-
	rg_salt_coast_material	0	ItemReward	3	mat_salt_coast_resin			10000	100
	rg_salt_coast_material	1	ItemReward	1	mat_salt_coast_core			2500	40
	rg_salt_coast_material	2	ItemReward	1	mat_ashen_crater_core			800	12
	rg_salt_coast_material	3	CurrencyReward	5		gem		300	5
	rg_salt_coast_stage_01	0	CurrencyReward	540		gold		10000	-
	rg_salt_coast_stage_01	1	CurrencyReward	8		food		5000	-
	rg_salt_coast_stage_01	2	ItemReward	1	mat_salt_coast_dust			3000	20
	rg_salt_coast_stage_02	0	CurrencyReward	580		gold		10000	-
	rg_salt_coast_stage_02	1	CurrencyReward	8		food		5000	-
	rg_salt_coast_stage_02	2	ItemReward	1	mat_salt_coast_dust			3000	20
	rg_salt_coast_stage_03	0	CurrencyReward	620		gold		10000	-
