:table StageReward	스테이지 보상이다.
:field	stage_id	reward_group_id	first_clear_group_id
:type	foreign Stage	foreign RewardGroup	foreign RewardGroup?
:desc	어느 스테이지인가	반복 보상	첫 클리어 보상
:target	c,s	c,s	c,s
	weir_forest_01	rg_weir_forest_stage_01	-
	weir_forest_02	rg_weir_forest_stage_02	-
	weir_forest_03	rg_weir_forest_stage_03	-
	weir_forest_04	rg_weir_forest_stage_04	-
	weir_forest_05	rg_weir_forest_stage_05	-
	weir_forest_06	rg_weir_forest_stage_06	-
	weir_forest_07	rg_weir_forest_stage_07	-
	weir_forest_08	rg_weir_forest_stage_08	-
	weir_forest_09	rg_weir_forest_stage_09	-
	weir_forest_10	rg_weir_forest_stage_10	-
	weir_forest_11	rg_weir_forest_stage_11	-
	weir_forest_12	rg_weir_forest_stage_12	-
	weir_forest_13	rg_weir_forest_stage_13	-
	weir_forest_14	rg_weir_forest_stage_14	-
	weir_forest_15	rg_weir_forest_stage_15	-
	weir_forest_16	rg_weir_forest_stage_16	-
	weir_forest_17	rg_weir_forest_stage_17	-
	weir_forest_18	rg_weir_forest_stage_18	rg_weir_forest_guardian
	salt_coast_01	rg_salt_coast_stage_01	-
	salt_coast_02	rg_salt_coast_stage_02	-
	salt_coast_03	rg_salt_coast_stage_03	-
	salt_coast_04	rg_salt_coast_stage_04	-
	salt_coast_05	rg_salt_coast_stage_05	-
	salt_coast_06	rg_salt_coast_stage_06	-
	salt_coast_07	rg_salt_coast_stage_07	-
	salt_coast_08	rg_salt_coast_stage_08	-
	salt_coast_09	rg_salt_coast_stage_09	-
	salt_coast_10	rg_salt_coast_stage_10	-
	salt_coast_11	rg_salt_coast_stage_11	-
	salt_coast_12	rg_salt_coast_stage_12	-
	salt_coast_13	rg_salt_coast_stage_13	-
	salt_coast_14	rg_salt_coast_stage_14	-
	salt_coast_15	rg_salt_coast_stage_15	-
	salt_coast_16	rg_salt_coast_stage_16	-
	salt_coast_17	rg_salt_coast_stage_17	-
	salt_coast_18	rg_salt_coast_stage_18	rg_salt_coast_guardian
	ashen_crater_01	rg_ashen_crater_stage_01	-
	ashen_crater_02	rg_ashen_crater_stage_02	-
	ashen_crater_03	rg_ashen_crater_stage_03	-
	ashen_crater_04	rg_ashen_crater_stage_04	-
	ashen_crater_05	rg_ashen_crater_stage_05	-
	ashen_crater_06	rg_ashen_crater_stage_06	-
	ashen_crater_07	rg_ashen_crater_stage_07	-
	ashen_crater_08	rg_ashen_crater_stage_08	-
	ashen_crater_09	rg_ashen_crater_stage_09	-
	ashen_crater_10	rg_ashen_crater_stage_10	-
	ashen_crater_11	rg_ashen_crater_stage_11	-
	ashen_crater_12	rg_ashen_crater_stage_12	-
	ashen_crater_13	rg_ashen_crater_stage_13	-
	ashen_crater_14	rg_ashen_crater_stage_14	-
	ashen_crater_15	rg_ashen_crater_stage_15	-
	ashen_crater_16	rg_ashen_crater_stage_16	-
	ashen_crater_17	rg_ashen_crater_stage_17	-
	ashen_crater_18	rg_ashen_crater_stage_18	rg_ashen_crater_guardian
	frost_ridge_01	rg_frost_ridge_stage_01	-
	frost_ridge_02	rg_frost_ridge_stage_02	-
	frost_ridge_03	rg_frost_ridge_stage_03	-
	frost_ridge_04	rg_frost_ridge_stage_04	-
	frost_ridge_05	rg_frost_ridge_stage_05	-
	frost_ridge_06	rg_frost_ridge_stage_06	-
	frost_ridge_07	rg_frost_ridge_stage_07	-
	frost_ridge_08	rg_frost_ridge_stage_08	-
	frost_ridge_09	rg_frost_ridge_stage_09	-
	frost_ridge_10	rg_frost_ridge_stage_10	-
	frost_ridge_11	rg_frost_ridge_stage_11	-
	frost_ridge_12	rg_frost_ridge_stage_12	-
	frost_ridge_13	rg_frost_ridge_stage_13	-
	frost_ridge_14	rg_frost_ridge_stage_14	-
	frost_ridge_15	rg_frost_ridge_stage_15	-
	frost_ridge_16	rg_frost_ridge_stage_16	-
	frost_ridge_17	rg_frost_ridge_stage_17	-
	frost_ridge_18	rg_frost_ridge_stage_18	rg_frost_ridge_guardian
	sunken_temple_01	rg_sunken_temple_stage_01	-
	sunken_temple_02	rg_sunken_temple_stage_02	-
	sunken_temple_03	rg_sunken_temple_stage_03	-
	sunken_temple_04	rg_sunken_temple_stage_04	-
	sunken_temple_05	rg_sunken_temple_stage_05	-
	sunken_temple_06	rg_sunken_temple_stage_06	-
	sunken_temple_07	rg_sunken_temple_stage_07	-
	sunken_temple_08	rg_sunken_temple_stage_08	-
	sunken_temple_09	rg_sunken_temple_stage_09	-
	sunken_temple_10	rg_sunken_temple_stage_10	-
	sunken_temple_11	rg_sunken_temple_stage_11	-
	sunken_temple_12	rg_sunken_temple_stage_12	-
	sunken_temple_13	rg_sunken_temple_stage_13	-
	sunken_temple_14	rg_sunken_temple_stage_14	-
	sunken_temple_15	rg_sunken_temple_stage_15	-
	sunken_temple_16	rg_sunken_temple_stage_16	-
	sunken_temple_17	rg_sunken_temple_stage_17	-
	sunken_temple_18	rg_sunken_temple_stage_18	rg_sunken_temple_guardian
