icon	monster_id	prompt
wl_sprout_deer_1	sprout_deer_1	Mobile RPG monster icon, small cute chibi juvenile fawn deer with fresh sprouting leaves on its head, braced defensive stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_sprout_deer_2	sprout_deer_2	Mobile RPG monster icon, grown adolescent, larger and sharper fawn deer with fresh sprouting leaves on its head, braced defensive stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_sprout_deer_3	sprout_deer_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate fawn deer with fresh sprouting leaves on its head, braced defensive stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_moss_toad_1	moss_toad_1	Mobile RPG monster icon, small cute chibi juvenile round toad covered in soft moss and tiny ferns, calm protective stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_thorn_beetle_1	thorn_beetle_1	Mobile RPG monster icon, small cute chibi juvenile armored beetle with sharp thorn spikes on its back, aggressive lunging stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_thorn_beetle_2	thorn_beetle_2	Mobile RPG monster icon, grown adolescent, larger and sharper armored beetle with sharp thorn spikes on its back, aggressive lunging stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_vine_ape_1	vine_ape_1	Mobile RPG monster icon, small cute chibi juvenile nimble monkey wrapped in climbing vines, braced defensive stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_vine_ape_2	vine_ape_2	Mobile RPG monster icon, grown adolescent, larger and sharper nimble monkey wrapped in climbing vines, braced defensive stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_bloom_moth_1	bloom_moth_1	Mobile RPG monster icon, small cute chibi juvenile moth with flower-petal wings and pollen dust, poised graceful stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_elder_bark_1	elder_bark_1	Mobile RPG monster icon, small cute chibi juvenile walking tree spirit of ancient cracked bark, calm protective stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_elder_bark_2	elder_bark_2	Mobile RPG monster icon, grown adolescent, larger and sharper walking tree spirit of ancient cracked bark, calm protective stance, leafy green and moss palette, plain dark forest green background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_ember_fox_1	ember_fox_1	Mobile RPG monster icon, small cute chibi juvenile slender fox with ember flames on its tail, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_ember_fox_2	ember_fox_2	Mobile RPG monster icon, grown adolescent, larger and sharper slender fox with ember flames on its tail, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_ember_fox_3	ember_fox_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate slender fox with ember flames on its tail, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
