:table ElementAffinity(key="attacker,defender")	속성 상성 배수이다. 조합이 키이므로 복합 기본 인덱스이다.
:field	attacker	defender	factor	#
:type	Element	Element	int (min=1)
:desc	공격 속성	방어 속성	피해 배수. 만분율
:target	c,s	c,s	c,s
	Flame	Flame	10000
	Flame	Tide	7500	불리
	Flame	Leaf	13500	유리
	Flame	Arc	10000
	Flame	Umbra	10000
	Tide	Flame	13500	유리
	Tide	Tide	10000
	Tide	Leaf	7500	불리
	Tide	Arc	10000
	Tide	Umbra	10000
	Leaf	Flame	7500	불리
	Leaf	Tide	13500	유리
	Leaf	Leaf	10000
	Leaf	Arc	10000
	Leaf	Umbra	10000
	Arc	Flame	10000
	Arc	Tide	13500	유리
	Arc	Leaf	13500	유리
	Arc	Arc	10000
	Arc	Umbra	7500	불리
	Umbra	Flame	10000
	Umbra	Tide	10000
	Umbra	Leaf	10000
	Umbra	Arc	13500	유리
	Umbra	Umbra	10000
