:table EncounterTable(side=s)	지역별 출현 목록이다. 확률은 클라이언트가 알 필요가 없다.
:field	encounter_id	region_id	requirement_group_id	entries[].monster_id	entries[].weight	entries[].encounter_slot
:type	string	foreign Region	foreign RequirementGroup?	foreign Monster	int (min=1)	EncounterSlot
:desc	식별자	어느 지역인가	은둔 슬롯의 조건	어느 단계가 나오는가	가중치	어느 슬롯에서 나오는가
:target	c,s	c,s	c,s	c,s	c,s	c,s
	enc_weir_forest	weir_forest	req_hidden_weir_forest	sprout_deer_1	1000	Normal
				sprout_deer_2	166	Normal
				moss_toad_1	1000	Normal
				thorn_beetle_1	300	Normal
				thorn_beetle_2	50	Normal
				vine_ape_1	300	Normal
				vine_ape_2	50	Normal
				bloom_moth_1	80	Rare
				elder_bark_1	15	Rare
				elder_bark_2	2	Rare
				tide_serpent_1	80	Rare
				dew_slug_1	1000	Normal
				reef_turtle_1	1000	Normal
				mist_ray_1	300	Normal
				brine_otter_1	300	Normal
				abyss_whale_1	15	Rare
				ember_fox_1	300	Normal
				cinder_pup_1	1000	Normal
				ash_boar_1	1000	Normal
				flare_hawk_1	300	Normal
				magma_crab_1	80	Rare
				pyre_lion_1	15	Rare
				spark_mouse_1	1000	Normal
				bolt_lynx_1	300	Normal
				coil_snake_1	300	Normal
				storm_crane_1	80	Rare
				volt_golem_1	80	Rare
				thunder_stag_1	15	Rare
	enc_salt_coast	salt_coast	req_hidden_salt_coast	tide_serpent_1	80	Rare
				tide_serpent_2	13	Rare
				dew_slug_1	1000	Normal
				reef_turtle_1	1000	Normal
				reef_turtle_2	166	Normal
				mist_ray_1	300	Normal
				brine_otter_1	300	Normal
				brine_otter_2	50	Normal
				abyss_whale_1	15	Rare
				ember_fox_1	300	Normal
				cinder_pup_1	1000	Normal
				ash_boar_1	1000	Normal
				flare_hawk_1	300	Normal
				magma_crab_1	80	Rare
				pyre_lion_1	15	Rare
				spark_mouse_1	1000	Normal
				bolt_lynx_1	300	Normal
				coil_snake_1	300	Normal
				storm_crane_1	80	Rare
				volt_golem_1	80	Rare
				thunder_stag_1	15	Rare
				shade_bat_1	1000	Normal
				dusk_weasel_1	300	Normal
				gloom_spider_1	300	Normal
				night_hound_1	80	Rare
				umbra_owl_1	15	Rare
				void_seraph_1	2	Hidden
	enc_ashen_crater	ashen_crater	req_hidden_ashen_crater	ember_fox_1	300	Normal
				ember_fox_2	50	Normal
				cinder_pup_1	1000	Normal
				ash_boar_1	1000	Normal
				ash_boar_2	166	Normal
				flare_hawk_1	300	Normal
				magma_crab_1	80	Rare
				magma_crab_2	13	Rare
				pyre_lion_1	15	Rare
				spark_mouse_1	1000	Normal
				bolt_lynx_1	300	Normal
				coil_snake_1	300	Normal
				storm_crane_1	80	Rare
				volt_golem_1	80	Rare
				thunder_stag_1	15	Rare
				shade_bat_1	1000	Normal
				dusk_weasel_1	300	Normal
				gloom_spider_1	300	Normal
				night_hound_1	80	Rare
				umbra_owl_1	15	Rare
				void_seraph_1	2	Hidden
				sprout_deer_1	1000	Normal
				moss_toad_1	1000	Normal
				thorn_beetle_1	300	Normal
				vine_ape_1	300	Normal
				bloom_moth_1	80	Rare
				elder_bark_1	15	Rare
	enc_frost_ridge	frost_ridge	req_hidden_frost_ridge	spark_mouse_1	1000	Normal
				bolt_lynx_1	300	Normal
				bolt_lynx_2	50	Normal
				coil_snake_1	300	Normal
				coil_snake_2	50	Normal
				storm_crane_1	80	Rare
				storm_crane_2	13	Rare
				volt_golem_1	80	Rare
				thunder_stag_1	15	Rare
				shade_bat_1	1000	Normal
				dusk_weasel_1	300	Normal
				gloom_spider_1	300	Normal
				night_hound_1	80	Rare
				umbra_owl_1	15	Rare
				void_seraph_1	2	Hidden
				sprout_deer_1	1000	Normal
				moss_toad_1	1000	Normal
				thorn_beetle_1	300	Normal
				vine_ape_1	300	Normal
				bloom_moth_1	80	Rare
				elder_bark_1	15	Rare
				tide_serpent_1	80	Rare
				dew_slug_1	1000	Normal
				reef_turtle_1	1000	Normal
				mist_ray_1	300	Normal
				brine_otter_1	300	Normal
				abyss_whale_1	15	Rare
	enc_sunken_temple	sunken_temple	req_hidden_sunken_temple	shade_bat_1	1000	Normal
				dusk_weasel_1	300	Normal
				dusk_weasel_2	50	Normal
				gloom_spider_1	300	Normal
				gloom_spider_2	50	Normal
				night_hound_1	80	Rare
				night_hound_2	13	Rare
				umbra_owl_1	15	Rare
				umbra_owl_2	2	Rare
				void_seraph_1	2	Hidden
				void_seraph_2	1	Hidden
				sprout_deer_1	1000	Normal
				moss_toad_1	1000	Normal
				thorn_beetle_1	300	Normal
				vine_ape_1	300	Normal
				bloom_moth_1	80	Rare
				elder_bark_1	15	Rare
				tide_serpent_1	80	Rare
				dew_slug_1	1000	Normal
				reef_turtle_1	1000	Normal
				mist_ray_1	300	Normal
				brine_otter_1	300	Normal
				abyss_whale_1	15	Rare
				ember_fox_1	300	Normal
				cinder_pup_1	1000	Normal
				ash_boar_1	1000	Normal
				flare_hawk_1	300	Normal
				magma_crab_1	80	Rare
				pyre_lion_1	15	Rare
