:table GrowthCurve(key="grade,level")	등급과 레벨별 능력치 배수와 소모 재화이다.
:field	grade	level	hp_factor	attack_factor	defense_factor	bonus_factor	costs[0].currency_id	costs[0].amount	costs[1].currency_id	costs[1].amount
:type	Grade	int (min=1, max=70)	int (min=10000)	int (min=10000)	int (min=10000)	int?	Cost
:desc	등급마다 곡선이 다르다	레벨	체력 배수. 만분율	공격 배수	방어 배수	구간 보너스. 없으면 비운다	소모 재화	첫째 소모 수량	둘째 소모 재화	둘째 소모 수량
:target	c,s	c,s	c,s	c,s	c,s	c,s	c,s	c,s	c,s	c,s
	Common	1	10000	10000	10000	-	gold	22	food	2
	Common	2	11392	11160	11044	-	gold	88	food	2
	Common	3	12784	12320	12088	-	gold	198	food	3
	Common	4	14176	13480	13132	-	gold	352	food	3
	Common	5	15568	14640	14176	-	gold	550	food	3
	Common	6	16960	15800	15220	-	gold	792	food	4
	Common	7	18352	16960	16264	-	gold	1078	food	4
	Common	8	19744	18120	17308	-	gold	1408	food	4
	Common	9	21136	19280	18352	-	gold	1782	food	5
	Common	10	22528	20440	19396	2000	gold	2200	food	5
	Common	11	23920	21600	20440	-	gold	2662	food	5
	Common	12	25312	22760	21484	-	gold	3168	food	6
	Common	13	26704	23920	22528	-	gold	3718	food	6
	Common	14	28096	25080	23572	-	gold	4312	food	6
	Common	15	29488	26240	24616	-	gold	4950	food	7
	Common	16	30880	27400	25660	-	gold	5632	food	7
	Common	17	32272	28560	26704	-	gold	6358	food	7
	Common	18	33664	29720	27748	-	gold	7128	food	8
	Common	19	35056	30880	28792	-	gold	7942	food	8
	Common	20	36448	32040	29836	2000	gold	8800	food	8
	Common	21	37840	33200	30880	-	gold	9702	food	9
	Common	22	39232	34360	31924	-	gold	10648	food	9
	Common	23	40624	35520	32968	-	gold	11638	food	9
	Common	24	42016	36680	34012	-	gold	12672	food	10
	Common	25	43408	37840	35056	-	gold	13750	food	10
	Common	26	44800	39000	36100	-	gold	14872	food	10
	Common	27	46192	40160	37144	-	gold	16038	food	11
	Common	28	47584	41320	38188	-	gold	17248	food	11
	Common	29	48976	42480	39232	-	gold	18502	food	11
	Common	30	50368	43640	40276	2000	gold	19800	food	12
	Common	31	51760	44800	41320	-	gold	21142	food	12
	Common	32	53152	45960	42364	-	gold	22528	food	12
	Common	33	54544	47120	43408	-	gold	23958	food	13
	Common	34	55936	48280	44452	-	gold	25432	food	13
	Common	35	57328	49440	45496	-	gold	26950	food	13
	Common	36	58720	50600	46540	-	gold	28512	food	14
	Common	37	60112	51760	47584	-	gold	30118	food	14
	Common	38	61504	52920	48628	-	gold	31768	food	14
	Common	39	62896	54080	49672	-	gold	33462	food	15
	Common	40	64288	55240	50716	2000	gold	35200	food	15
	Common	41	65680	56400	51760	-	gold	36982	food	15
	Common	42	67072	57560	52804	-	gold	38808	food	16
	Common	43	68464	58720	53848	-	gold	40678	food	16
	Common	44	69856	59880	54892	-	gold	42592	food	16
	Common	45	71248	61040	55936	-	gold	44550	food	17
	Common	46	72640	62200	56980	-	gold	46552	food	17
	Common	47	74032	63360	58024	-	gold	48598	food	17
	Common	48	75424	64520	59068	-	gold	50688	food	18
	Common	49	76816	65680	60112	-	gold	52822	food	18
	Common	50	78208	66840	61156	2000	gold	55000	food	18
	Common	51	79600	68000	62200	-	gold	57222	food	19
	Common	52	80992	69160	63244	-	gold	59488	food	19
	Common	53	82384	70320	64288	-	gold	61798	food	19
	Common	54	83776	71480	65332	-	gold	64152	food	20
	Common	55	85168	72640	66376	-	gold	66550	food	20
	Common	56	86560	73800	67420	-	gold	68992	food	20
	Common	57	87952	74960	68464	-	gold	71478	food	21
	Common	58	89344	76120	69508	-	gold	74008	food	21
	Common	59	90736	77280	70552	-	gold	76582	food	21
	Common	60	92128	78440	71596	2000	gold	79200	food	22
	Common	61	93520	79600	72640	-	gold	81862	food	22
	Common	62	94912	80760	73684	-	gold	84568	food	22
	Common	63	96304	81920	74728	-	gold	87318	food	23
	Common	64	97696	83080	75772	-	gold	90112	food	23
	Common	65	99088	84240	76816	-	gold	92950	food	23
	Common	66	100480	85400	77860	-	gold	95832	food	24
	Common	67	101872	86560	78904	-	gold	98758	food	24
	Common	68	103264	87720	79948	-	gold	101728	food	24
	Common	69	104656	88880	80992	-	gold	104742	food	25
	Common	70	106048	90040	82036	2000	gold	107800	food	25
	Rare	1	10000	10000	10000	-	gold	22	food	2
	Rare	2	11536	11280	11152	-	gold	88	food	2
	Rare	3	13072	12560	12304	-	gold	198	food	3
	Rare	4	14608	13840	13456	-	gold	352	food	3
	Rare	5	16144	15120	14608	-	gold	550	food	3
	Rare	6	17680	16400	15760	-	gold	792	food	4
	Rare	7	19216	17680	16912	-	gold	1078	food	4
