:table ShopSlot_Season	시즌 상점의 판매 항목이다. 스키마가 같은 다른 벌이다.
:field	shop_slot_id	shop_id	slot_index	reward_group_id	cost	stock
:type	string	foreign Shop	int (min=0, max=11)	foreign RewardGroup	Cost	int (min=1, max=99)
:desc	식별자	어느 상점인가	표시 자리	판매 내용	가격. 셀 하나에 `재화,수량`	재고
:target	c,s	c,s	c,s	c,s	c,s	c,s
	slot_season_00	shop_season	0	rg_shop_season_00	gold,500	3
	slot_season_01	shop_season	1	rg_shop_season_01	gold,750	4
	slot_season_02	shop_season	2	rg_shop_season_02	gold,1000	5
	slot_season_03	shop_season	3	rg_shop_season_03	gold,1250	6
	slot_season_04	shop_season	4	rg_shop_season_04	gold,1500	3
	slot_season_05	shop_season	5	rg_shop_season_05	gold,1750	4
	slot_season_06	shop_season	6	rg_shop_season_06	gold,2000	5
	slot_season_07	shop_season	7	rg_shop_season_07	gold,2250	6
